Name,Beer_ID,ABV,IBU,Brew_ID,Style,Ounces,Name,City,State,ISBLANK,,,,,,,,,,
Citra Ass Down,2686,0.08,68,2,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY,DATA,,,,,,,Rochester,1,7,8
Rico Sauvin,2678,0.076,68,2,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY,DATA,,,,,,,Bucryus,7,1,8
London Balling,2685,0.125,80,2,English Barleywine,16,Against the Grain Brewery,Louisville, KY,DATA,,,,,,,Washington,4,4,8
Kamen Knuddeln,2676,0.065,,2,American Wild Ale,16,Against the Grain Brewery,Louisville, KY,BLANK,,,,,,,Paonia,,8,8
Pre Flight Pilsner,1137,0.052,33,368,American Pilsner,16,Airways Brewing Company,Kent, WA,DATA,,,,,,,Garden City,5,3,8
Maylani's Coconut Stout,1594,0.053,35,368,American Stout,16,Airways Brewing Company,Kent, WA,DATA,,,,,,,Athens,2,6,8
Oatmeal PSA,1162,0.05,35,368,American Pale Ale (APA),16,Airways Brewing Company,Kent, WA,DATA,,,,,,,Blanco,7,1,8
P-Town Pilsner,2403,0.04,20,118,American Pilsner,12,Alameda Brewing,Portland, OR,DATA,,,,,,,Lexington,2,6,8
Klickitat Pale Ale,2402,0.053,36,118,American Pale Ale (APA),12,Alameda Brewing,Portland, OR,DATA,,,,,,,Albuquerque,4,3,7
Yellow Wolf Imperial IPA,2401,0.082,103,118,American Double / Imperial IPA,12,Alameda Brewing,Portland, OR,DATA,,,,,,,Nantucket,,7,7
Alaskan Amber,1920,0.053,18,271,Altbier,12,Alaskan Brewing Company,Juneau, AK,DATA,,,,,,,Buena Vista,2,5,7
Freeride APA,1921,0.053,40,271,American Pale Ale (APA),12,Alaskan Brewing Company,Juneau, AK,DATA,,,,,,,Baton Rouge,6,1,7
Hopalicious,2501,0.057,,74,American Pale Ale (APA),12,Ale Asylum,Madison, WI,BLANK,,,,,,,Reno,4,3,7
Kentucky Kölsch,1535,0.043,,389,Kölsch,16,Alltech's Lexington Brewing Company,Lexington, KY,BLANK,,,,,,,Dillon,7,,7
Kentucky IPA,1149,0.065,,389,American IPA,16,Alltech's Lexington Brewing Company,Lexington, KY,BLANK,,,,,,,Spearfish,,7,7
Desolation IPA,837,0.062,43,402,American IPA,16,Amnesia Brewing Company,Washougal, WA,DATA,,,,,,,Arvada,3,4,7
Dusty Trail Pale Ale,1474,0.054,,402,American Pale Ale (APA),16,Amnesia Brewing Company,Washougal, WA,BLANK,,,,,,,Weston,2,5,7
Damnesia,1473,0.062,,402,American IPA,16,Amnesia Brewing Company,Washougal, WA,BLANK,,,,,,,Houghton,,7,7
Liberty Ale,2592,0.059,,36,American IPA,12,Anchor Brewing Company,San Francisco, CA,BLANK,,,,,,,Charlotte,3,4,7
IPA,2578,0.065,,36,American IPA,12,Anchor Brewing Company,San Francisco, CA,BLANK,,,,,,,Jacksonville,4,3,7
Summer Wheat,2577,0.045,,36,American Pale Wheat Ale,12,Anchor Brewing Company,San Francisco, CA,BLANK,,,,,,,Richmond,7,,7
California Lager,2103,0.049,,36,American Amber / Red Lager,12,Anchor Brewing Company,San Francisco, CA,BLANK,,,,,,,Kalamazoo,1,6,7
Brotherhood Steam,2102,0.056,,36,California Common / Steam Beer,12,Anchor Brewing Company,San Francisco, CA,BLANK,,,,,,,Santa Fe,2,5,7
Summer Solstice,1350,0.056,4,172,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Lansdale,3,4,7
Summer Solstice Cerveza Crema (2009),753,0.056,4,172,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Tempe,5,2,7
Summer Solstice (2011),77,0.056,4,172,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Marquette,3,4,7
Winter Solstice,523,0.069,6,172,Winter Warmer,12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Waterbury,3,4,7
Barney Flats Oatmeal Stout,1520,0.057,13,172,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Detroit,5,1,6
Barney Flats Oatmeal Stout,1221,0.057,13,172,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,New Orleans,,6,6
Barney Flats Oatmeal Stout (2012),572,0.057,13,172,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Asheville,6,,6
Boont Amber Ale,1326,0.058,15,172,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Dolores,,6,6
Boont Amber Ale (2010),811,0.058,15,172,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Charlottesville,5,1,6
Boont Amber Ale (2011),78,0.058,15,172,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Duluth,5,1,6
El Steinber Dark Lager,1217,0.055,25,172,Vienna Lager,16,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Sheridan,6,,6
Poleeko Gold Pale Ale (2009),76,0.055,28,172,American Pale Ale (APA),12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Brevard,6,,6
Hop Ottin' IPA,1327,0.07,80,172,American IPA,12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Fuquay-Varina,5,1,6
Hop Ottin' IPA (2011),367,0.07,80,172,American IPA,12,Anderson Valley Brewing Company,Boonville, CA,DATA,,,,,,,Lake Havasu City,,6,6
Blood Orange Gose,2291,0.042,,172,Gose,12,Anderson Valley Brewing Company,Boonville, CA,BLANK,,,,,,,Comstock Park,5,1,6
Keebarlin' Pale Ale,1818,0.042,,172,American Pale Ale (APA),12,Anderson Valley Brewing Company,Boonville, CA,BLANK,,,,,,,Estacada,2,4,6
"the Kimmie, the Yink and the Holy Gose",1738,0.048,,172,Gose,12,Anderson Valley Brewing Company,Boonville, CA,BLANK,,,,,,,Bloomfield,1,5,6
Fall Hornin',1563,0.06,,172,Pumpkin Ale,12,Anderson Valley Brewing Company,Boonville, CA,BLANK,,,,,,,Atlanta,1,5,6
Charlie's Rye IPA,2337,0.06,,147,American IPA,16,Angry Minnow,Hayward, WI,BLANK,,,,,,,Seven Points,5,1,6
River Pig Pale Ale,410,0.054,,543,American Pale Ale (APA),16,Angry Minnow Brewing Company,Hayward, WI,BLANK,,,,,,,Eugene,4,2,6
Oaky's Oatmeal Stout,409,0.047,,543,Oatmeal Stout,16,Angry Minnow Brewing Company,Hayward, WI,BLANK,,,,,,,Spirit Lake,6,,6
Angry Orchard Apple Ginger,1294,0.05,,435,Cider,16,Angry Orchard Cider Company,Cincinnati, OH,BLANK,,,,,,,Meadville,6,,6
Angry Orchard Crisp Apple,1293,0.05,,435,Cider,16,Angry Orchard Cider Company,Cincinnati, OH,BLANK,,,,,,,Mishawaka,3,3,6
Angry Orchard Crisp Apple,1292,0.05,,435,Cider,12,Angry Orchard Cider Company,Cincinnati, OH,BLANK,,,,,,,Charleston,,6,6
Golden One,2207,0.068,,194,Belgian Pale Ale,12,Anthem Brewing Company,Oklahoma City, OK,BLANK,,,,,,,Mustang,2,3,5
Arjuna,2040,0.06,,194,Witbier,12,Anthem Brewing Company,Oklahoma City, OK,BLANK,,,,,,,Torrance,3,2,5
Uroboros,2039,0.085,,194,American Stout,12,Anthem Brewing Company,Oklahoma City, OK,BLANK,,,,,,,Spring Lake,,5,5
Honey Badger Blonde,2510,0.047,19,70,American Blonde Ale,16,Appalachian Mountain Brewery,Boone, NC,DATA,,,,,,,Traverse City,,5,5
Porter (a/k/a Black Gold Porter),2509,0.06,23,70,American Porter,16,Appalachian Mountain Brewery,Boone, NC,DATA,,,,,,,Santee,5,,5
Long Leaf,2511,0.071,75,70,American IPA,16,Appalachian Mountain Brewery,Boone, NC,DATA,,,,,,,Flagstaff,1,4,5
Whitsun,390,0.062,17,542,American Pale Wheat Ale,12,Arcadia Brewing Company,Battle Creek, MI,DATA,,,,,,,Hershey,4,1,5
Sky High Rye,413,0.06,55,542,American Pale Ale (APA),12,Arcadia Brewing Company,Battle Creek, MI,DATA,,,,,,,Paso Robles,3,2,5
On-On Ale (2008),735,0.052,,514,American Pale Ale (APA),12,Arctic Craft Brewery,Colorado Springs, CO,BLANK,,,,,,,Temecula,5,,5
Greenbelt Farmhouse Ale,1332,0.051,20,427,Saison / Farmhouse Ale,12,Armadillo Ale Works,Denton, TX,DATA,,,,,,,Gainesville,5,,5
